,Ipc-gnso rank,Ipc-gnso count,wp4 rank,wp4 count,Ncuc-discuss rnak,Ncuc-discuss count
statement,,,27,84,27,5419
states,40,165,,,,
subset,,,79,60,,
support,,,16,90,,
system,,,,,86,3953
team,,,,,32,5176
tel,10,396,,,,
them,84,112,77,60,,
third,31,183,,,,
those,,,75,60,,
thu,,,33,80,,
too,,,,,95,3899
trachtenbergm,16,336,,,,
trademarks,34,177,,,,
type,,,95,54,,
under,75,122,31,82,,
understanding,,,0,162,,
united,33,178,,,,
universal,,,45,71,,
update,35,175,,,,
urldefense,15,338,,,,
usa,19,319,,,,
ut6jogy17wbmnsygyhv,46,149,,,,
v2,13,348,,,,
va,58,139,,,,
valideus,3,656,,,,
various,,,88,56,,
ve,,,,,94,3906
very,44,158,,,,
vote,,,,,6,7347
voting,,,,,52,4466
waive,79,118,,,,
webinar,77,121,,,,
wed,85,112,,,,
were,,,26,84,,
where,,,58,64,,
whether,,,,,38,4912
whois,71,127,,,3,8986
william,,,,,2,9521
winston,4,549,,,,
without,,,,,63,4247
world,,,,,78,4063
ws1,,,8,112,,
year,,,,,53,4424
